小区名称,户型,面积,区域,楼层,朝向,价格（W）,单价（平方米）,建筑时间
中星红庐,5室3厅,306.58,闵行,地上2层 地下1层,(进门) 北,1850,60343,2012年建
宝仪花苑,2室1厅,72.3,闵行,低区/6层,朝南,465,64315,1996年建
伊犁苑,2室1厅,68.92,闵行,高区/6层,朝南,435,63116,1996年建
华菁公寓,2室2厅,103.69,闵行,中区/13层,朝西南,375,36165,1994年建
广海花园,2室1厅,66.54,闵行,高区/6层,朝南北,340,51097,1994年建
浦江宝邸,2室2厅,78.3,闵行,高区/14层,朝南北,310,39591,2009年建
水语人家,2室1厅,77.11,闵行,低区/17层,朝南,350,45389,2010年建
莘映象,2室2厅,95,闵行,中区/11层,朝南,485,51052,2009年建
东方花园（一期）,3室2厅,93.62,闵行,中区/6层,朝南,590,63020,1999年建
蔷薇新村,1室1厅,44.34,闵行,中区/6层,朝南,225,50744,1995年建
万科假日风景（公寓）,2室2厅,91.37,闵行,低区/6层,朝南北,650,71139,
华菁公寓,3室2厅,149.37,闵行,高区/14层,朝南北,580,38829,1997年建
爱庐世纪新苑,1室1厅,62.98,闵行,中区/5层,朝南北,306,48586,
夏朵小城,3室2厅,131.07,闵行,中区/6层,朝南北,450,34332,2005年建
新浦江城（江桦路400弄）（公寓）,2室2厅,102.33,闵行,低区/4层,朝南北,570,55702,2006年建
浦江宝邸,2室2厅,82.05,闵行,低区/11层,朝南北,310,37781,2008年建
兴中公寓,2室2厅,91.43,闵行,中区/7层,朝南,380,41561,2002年建
西郊虹韵城景雅苑,2室2厅,83.35,闵行,低区/12层,,340,40791,2010年建
夏朵小城,3室2厅,104.42,闵行,中区/4层,朝南北,385,36870,2006年建
虹梅路2986弄,1室1厅,41.07,闵行,中区/6层,朝南,250,60871,1992年建
万顺水原墅（公寓）,3室1厅,84.4,闵行,中区/11层,,340,40284,2012年建
同济华城,1室1厅,64.07,闵行,中区/17层,,438,68362,2006年建
平阳新村四街坊,2室1厅,65.29,闵行,高区/6层,朝南,355,54372,1998年建
梅陇二村,1室1厅,46.4,闵行,高区/6层,朝南,235,50646,1993年建
龙柏三村,1室1厅,48.7,闵行,低区/6层,朝南,310,63655,
古美西路420弄,2室1厅,79.18,闵行,高区/6层,,470,59358,1996年建
万科城市花园,3室2厅,101.41,闵行,低区/7层,朝南北,620,61137,
凤庆小区,2室1厅,55.65,闵行,中区/6层,朝南北,200,35938,1988年建
申莘三村,2室2厅,74.99,闵行,高区/6层,朝南北,310,41338,1998年建
剑桥馨苑,3室2厅,123,闵行,低区/7层,朝南北,640,52032,2006年建
古美小区,2室1厅,60.46,闵行,高区/6层,朝南,338,55904,1994年建
航华二村,2室2厅,89.98,闵行,高区/6层,朝南,410,45565,
鹤明小区,1室0厅,39.98,闵行,低区/6层,朝南,170,42521,1985年建
虹莘家园,3室2厅,138.26,闵行,中区/6层,朝南,780,56415,2003年建
景谷苑,3室1厅,90.06,闵行,低区/6层,,330,36642,1998年建
富丽公寓（西区）,2室2厅,80.77,闵行,低区/6层,朝,430,53237,1994年建
虹莘新村,3室1厅,89.7,闵行,高区/6层,朝南,462,51505,1997年建
新金山花园,2室1厅,73.05,闵行,高区/6层,朝南,350,47912,1997年建
黎明花园,2室1厅,65.49,闵行,高区/6层,朝南,296,45197,1995年建
银都新村（1至7区）,2室1厅,70.1,闵行,低区/6层,朝南北,340,48502,1995年建
圣陶沙花园（公寓）,3室2厅,130.51,闵行,低区/10层,朝南北,770,58999,2001年建
万科城市花园,4室2厅,167,闵行,高区/5层,朝南北,830,49700,
莘光苑,2室1厅,76.04,闵行,高区/6层,朝南,420,55234,1999年建
柏林春天,2室2厅,94.32,闵行,高区/11层,朝南北,650,68914,2005年建
新梅花苑,1室1厅,49.46,闵行,高区/6层,朝南,250,50545,1995年建
浦江智汇园,2室1厅,81.04,闵行,低区/12层,朝南北,395,48741,2010年建
航华四村,2室1厅,54.03,闵行,高区/6层,朝南,270,49972,
振宏小区,2室2厅,76.83,闵行,低区/6层,朝南,450,58570,
万科城花新园,3室2厅,129.73,闵行,高区/11层,朝南北,890,68604,2010年建
名都城（公寓）,3室2厅,157.19,闵行,低区/16层,,950,60436,1998年建
万科阳光苑,2室2厅,90.36,闵行,中区/11层,朝南北,395,43714,2008年建
虹桥帝梵尼,2室2厅,108,闵行,低区/10层,朝南北,685,63425,
莲花公寓（闵行）,2室2厅,87.18,闵行,中区/6层,朝南,590,67676,2000年建
平吉二村,2室1厅,60.17,闵行,低区/6层,,315,52351,1994年建
颛卫路175弄,3室1厅,79,闵行,中区/6层,朝南北,318,40253,1993年建
静安新城（六区）,1室0厅,36.49,闵行,中区/9层,朝南,185,50698,2006年建
新华小区,2室1厅,55.67,闵行,高区/6层,朝南北,240,43111,1991年建
贵峰苑,2室2厅,87,闵行,低区/6层,朝,420,48275,1994年建
上虹新村,3室1厅,73.06,闵行,中区/6层,朝南北,410,56118,1994年建
北欧丽景,2室2厅,84,闵行,高区/6层,朝南北,370,44047,1998年建
望族新苑,3室2厅,115.45,闵行,中区/6层,朝南北,750,64963,2004年建
聚丰景都,2室2厅,82.33,宝山,高区/6层,朝南北,425,51621,2009年建
淞南四村,1室0厅,33.67,宝山,高区/6层,朝南,175,51975,1996年建
祁连二村,2室1厅,77.5,宝山,中区/6层,朝南北,330,42580,1994年建
菊泉新城（陆翔路358弄）,3室2厅,101.67,宝山,中区/14层,朝南北,430,42293,2005年建
和欣国际花园,2室2厅,78.21,宝山,高区/18层,朝南北,520,66487,2009年建
锦秋花园（公寓）,3室2厅,134.18,宝山,低区/13层,朝南,585,43598,2007年建
宝钢八村,2室0厅,50.36,宝山,中区/5层,朝南北,213,42295,1978年建
共富二村,1室2厅,60.21,宝山,高区/6层,朝南北,243,40358,1999年建
菊泉新城（陆翔路678弄）,2室2厅,84.52,宝山,低区/14层,朝南北,345,40818,2005年建
通河二村,1室1厅,41.95,宝山,高区/6层,朝南,192,45768,1988年建
菊泉新城（陆翔路358弄）,1室1厅,54.51,宝山,中区/6层,朝南北,300,55035,2005年建
馨佳园（韶山路245弄）,3室1厅,96.02,宝山,高区/17层,朝南北,420,43740,2011年建
中环1号（一期）,2室2厅,92.99,宝山,低区/15层,朝南,510,54844,2008年建
高境二村,2室1厅,80.5,宝山,高区/6层,朝南,395,49068,
宝宸共和家园,2室2厅,99.2,宝山,低区/16层,朝南北,590,59475,2008年建
梧桐城邦（公寓）,4室2厅,127.37,宝山,高区/14层,朝西南,750,58883,2008年建
梧桐城邦（公寓）,2室2厅,84,宝山,中区/5层,朝南北,550,65476,2010年建
大华二村,2室1厅,70.95,宝山,高区/6层,朝南,350,49330,1997年建
泰和新城,2室2厅,76.21,宝山,高区/6层,朝南北,255,33460,
保利叶语（公寓）,4室2厅,125.89,宝山,低区/27层,朝东,720,57192,2012年建
共康六村,2室1厅,68.3,宝山,高区/6层,朝南北,320,46852,1996年建
海滨三村,2室1厅,48.95,宝山,中区/6层,,220,44943,1986年建
文华苑（宝山）,1室1厅,52.77,宝山,中区/6层,朝南,321,60830,1997年建
大华二村,2室1厅,66.16,宝山,中区/6层,朝南北,390,58948,1996年建
大华二村,2室1厅,66.16,宝山,高区/6层,朝南北,355,53657,1996年建
共富三村,2室2厅,83.49,宝山,高区/6层,朝南北,380,45514,1999年建
共富二村,2室1厅,76.39,宝山,高区/6层,朝南北,315,41235,1996年建
新梅淞南苑,1室1厅,54.67,宝山,高区/12层,朝南,388,70971,2008年建
学林苑,2室1厅,87.04,宝山,高区/12层,朝南,438,50321,2004年建
通河四村,1室1厅,46.53,宝山,中区/6层,朝南北,240,51579,1988年建
呼玛三村,2室1厅,54.04,宝山,高区/6层,朝南北,296,54774,1994年建
大华二村,2室1厅,58.98,宝山,低区/6层,朝南北,345,58494,1997年建
呼玛三村,2室1厅,69.34,宝山,中区/6层,朝南,350,50475,1996年建
通河二村,1室1厅,42.59,宝山,中区/6层,朝南,240,56351,1988年建
绿地领海（商住）,2室1厅,54.84,宝山,高区/19层,朝北,103,18781,2012年建
泗塘七村,2室1厅,52.28,宝山,高区/6层,朝南北,230,43993,1995年建
海滨新村,2室1厅,73.74,宝山,低区/5层,朝南北,320,43395,
康泰新城,3室2厅,117.53,宝山,中区/6层,朝南北,595,50625,2002年建
九英里,1室1厅,51.52,宝山,低区/12层,朝南,355,68905,2007年建
丽雅花园,2室2厅,91.5,宝山,中区/11层,朝南,500,54644,2005年建
锦龙苑,2室2厅,87.54,宝山,高区/6层,朝南北,400,45693,2003年建
保利叶之林,3室2厅,120.94,宝山,低区/14层,朝南北,690,57053,2014年建
好日子大家园,2室2厅,94.43,宝山,低区/6层,朝南北,380,40241,2010年建
大华一村,2室1厅,49.93,宝山,中区/6层,朝南,290,58081,1994年建
美兰湖颐景园,2室1厅,85.72,宝山,中区/5层,朝南北,360,41997,2007年建
采菊苑,1室1厅,58.96,宝山,低区/10层,朝南,275,46641,2008年建
北华苑,2室1厅,61.16,宝山,低区/6层,朝南北,370,60497,1997年建
枫桥湾名邸,3室2厅,131.24,宝山,高区/6层,朝南,680,51813,2003年建
盛世宝邸（一期）,2室2厅,87.61,宝山,中区/11层,朝南北,650,74192,2010年建
好旺花苑,2室1厅,71.66,宝山,中区/6层,朝南北,410,57214,1996年建
天馨花园（公寓）,3室1厅,107.98,宝山,低区/6层,朝南,450,41674,2004年建
远景佳苑,3室2厅,96.12,宝山,低区/6层,朝南北,585,60861,2000年建
新梅淞南苑,2室1厅,66.42,宝山,高区/6层,朝南,438,65943,
祁连二村,2室1厅,76.81,宝山,高区/6层,朝南北,338,44004,1994年建
好旺花苑,2室1厅,71.66,宝山,低区/6层,朝南北,405,56516,1996年建
牡丹江路244弄,1室1厅,62.95,宝山,高区/6层,朝南,233,37013,1996年建
古北菊翔苑（菊联路233弄）,3室2厅,93.28,宝山,低区/8层,朝南北,370,39665,2008年建
枫桥湾名邸,2室2厅,92.73,宝山,高区/6层,朝南北,620,66860,2003年建
呼玛四村,1室1厅,41.43,宝山,低区/6层,朝南,210,50687,1993年建
淞滨路765弄,3室1厅,95.99,宝山,中区/6层,朝南,385,40108,1997年建
逸仙一村,1室1厅,39,宝山,中区/6层,朝南,218,55897,1988年建
华浜二村,1室1厅,43.64,宝山,高区/6层,朝南,193,44225,1995年建
宝宸共和家园,3室2厅,111.78,宝山,高区/18层,朝南北,738,66022,2007年建
逸仙路1321弄,2室1厅,57.79,宝山,低区/6层,朝南,312,53988,1995年建
华浜二村,2室1厅,64.6,宝山,高区/6层,朝南北,275,42569,1995年建
淞南五村,1室0厅,34.88,宝山,高区/6层,朝南,185,53038,1999年建
复星花园（行知路50弄）,1室1厅,54.63,宝山,低区/6层,朝南北,305,55830,1995年建
宝林一村,2室1厅,53.97,宝山,高区/6层,朝南北,270,50027,1992年建
海滨八村,2室1厅,56.32,宝山,高区/6层,朝南,236,41903,1991年建
逸居苑,2室2厅,77.56,宝山,高区/6层,朝南北,465,59953,2008年建
共康五村,2室1厅,67.02,宝山,中区/6层,朝南,360,53715,1993年建
吉浦路615弄,2室1厅,54.36,宝山,低区/7层,朝南,275,50588,1996年建
天馨花园（公寓）,3室2厅,127.55,宝山,中区/5层,朝南北,470,36848,2000年建
文宝苑,2室2厅,75.55,宝山,高区/11层,朝南北,380,50297,2008年建
宝宸怡景园,2室2厅,88.4,宝山,中区/14层,朝南北,629,71153,2009年建
和欣国际花园,2室2厅,82.25,宝山,低区/16层,朝南,570,69300,2007年建
宝钢九村,2室1厅,81.58,宝山,中区/13层,朝南,335,41063,1988年建
瑞丰园,1室2厅,62.81,宝山,高区/11层,朝南,315,50151,2005年建
梧桐城邦（公寓）,1室1厅,50.74,宝山,中区/4层,朝东,350,68979,2011年建
住嘉新苑,4室2厅,135.05,宝山,低区/15层,朝南北,600,44427,2005年建
共康八村,2室1厅,73.06,宝山,中区/6层,朝南北,360,49274,1995年建
康泰新城,4室2厅,137.82,宝山,中区/7层,朝南北,650,47162,1999年建
东方丽都,3室2厅,116.36,宝山,低区/11层,朝南,410,35235,2011年建
淞南六村,1室1厅,50.78,宝山,高区/6层,朝南,240,47262,1996年建
保利叶之林,3室2厅,122.97,宝山,中区/14层,朝南北,750,60990,
共富一村,2室2厅,93.57,宝山,中区/6层,朝南北,400,42748,1996年建
大华一村,2室1厅,63.64,宝山,高区/6层,朝南北,350,54996,1993年建
吴淞新城,3室2厅,137.52,宝山,中区/11层,朝南北,680,49447,2002年建
共富一村,3室2厅,97.29,宝山,高区/6层,朝南北,400,41114,1997年建
殷高小区,2室1厅,64.32,宝山,高区/6层,朝南北,345,53638,1994年建
盘古路927弄,2室1厅,51.09,宝山,高区/6层,朝南,185,36210,1993年建
宝钢七村,1室0厅,28.98,宝山,中区/5层,朝南,165,56935,1978年建
大华二村,3室1厅,85.49,宝山,高区/6层,朝南,420,49128,1995年建
杨泰三村,1室1厅,48.64,宝山,中区/6层,朝南,220,45230,1995年建
聚丰景都,2室2厅,93,宝山,中区/11层,朝南北,500,53763,2010年建
世纪非凡怡园,3室2厅,89.77,宝山,中区/5层,朝南北,390,43444,2008年建
宝林八村,2室1厅,59.45,宝山,高区/6层,朝南,265,44575,1993年建
大华公园世家康华苑,2室1厅,61.98,宝山,低区/6层,朝南北,380,61310,
泗塘五村,1室0厅,35.42,宝山,高区/6层,朝南,185,52230,1994年建
自然居家园,2室2厅,88.91,宝山,低区/10层,朝南北,400,44989,2010年建
锦秋花园（公寓）,3室2厅,131.62,宝山,高区/6层,朝南北,560,42546,2007年建
大华一村,1室1厅,42.38,宝山,高区/6层,朝南,238,56158,1993年建
华浜二村,2室1厅,77.44,宝山,高区/6层,朝南,350,45196,1999年建
逸仙华庭,2室2厅,97.09,宝山,高区/4层,朝南北,590,60768,2006年建
长江路20弄,2室1厅,59.97,宝山,低区/6层,朝南北,260,43355,1991年建
宝钢五村,2室2厅,94.15,宝山,中区/6层,朝南,418,44397,1999年建
幸之苑,3室2厅,110.42,宝山,中区/5层,朝南,618,55968,2001年建
共富一村,1室1厅,51.28,宝山,中区/6层,朝南,220,42901,1995年建
铂金华府,3室2厅,136.04,宝山,低区/17层,朝南北,900,66157,
共康七村,2室0厅,48.27,宝山,高区/6层,朝南,235,48684,1996年建
当代高邸,3室2厅,129.16,宝山,中区/6层,朝南北,600,46454,2003年建
馨康苑,5室3厅,198.34,宝山,高区/6层,朝南北,800,40334,2004年建
淞南五村,2室1厅,66.44,宝山,低区/6层,朝南北,330,49668,1997年建
馨佳园（菊泉街1346弄）,3室1厅,95.95,宝山,低区/14层,朝南北,405,42209,2011年建
馨佳园（韶山路418弄）,2室1厅,78.4,宝山,高区/11层,朝南北,335,42729,2009年建
宝宸共和家园,3室2厅,126.14,宝山,低区/22层,朝南北,820,65007,2007年建
万科四季花城（公寓）,3室2厅,121.25,宝山,中区/6层,朝南北,530,43711,2004年建
中环1号（一期）,3室2厅,118.02,宝山,中区/14层,朝南,655,55499,2011年建
南大路190弄,2室1厅,61.49,宝山,高区/6层,朝南北,255,41470,1995年建
慧华东苑,3室2厅,125.2,宝山,中区/6层,朝南北,550,43929,2011年建
慧华东苑,3室2厅,126.85,宝山,高区/6层,朝南北,520,40993,2011年建
泗塘二村,2室1厅,51.2,宝山,高区/6层,朝南北,210,41015,1984年建
馨佳园（菊泉街1280弄）,2室1厅,75.55,宝山,低区/11层,朝南北,330,43679,2010年建
绿地北郊广场,2室1厅,56.16,宝山,高区/9层,朝南,150,26709,
共康六村,3室2厅,167.07,宝山,低区/6层,朝南北,720,43095,2001年建
滨江雅苑,2室2厅,88.9,宝山,低区/6层,朝南,580,65241,
新梅绿岛苑,3室2厅,82.36,宝山,高区/6层,朝南北,485,58887,2007年建
保利叶语（公寓）,4室2厅,127.36,宝山,中区/21层,朝东西,730,57317,2013年建
呼玛三村,1室1厅,39.26,宝山,低区/6层,朝南,230,58583,1995年建
乐业一村,2室1厅,55.09,宝山,中区/6层,朝南,230,41749,1994年建
大华二村,2室1厅,57.15,宝山,中区/7层,朝南北,345,60367,1995年建
祁连二村,2室1厅,57.87,宝山,低区/6层,朝南,285,49248,1994年建
逸居苑,2室2厅,85.97,宝山,低区/14层,朝南北,465,54088,2008年建
呼玛三村,2室1厅,58.68,宝山,低区/6层,朝南,300,51124,1994年建
逸仙路1321弄,1室1厅,43.93,宝山,高区/6层,朝南,212,48258,1993年建
共富四村,3室2厅,119.75,宝山,中区/5层,朝南北,500,41753,
好旺花苑,2室1厅,71.66,宝山,高区/6层,朝南北,390,54423,1996年建
逸仙路1321弄,1室1厅,51.05,宝山,高区/6层,,265,51909,1994年建
通河一村,2室1厅,70.04,宝山,高区/13层,朝东北,388,55396,1990年建
美岸栖庭（公寓）,4室3厅,181.37,宝山,低区/13层,朝南北,820,45211,2007年建
文华苑（宝山）,4室2厅,153.73,宝山,高区/6层,朝南,660,42932,1999年建
长江路68弄,2室1厅,59.97,宝山,高区/7层,朝南北,248,41354,1995年建
滨江雅苑,3室2厅,134.67,宝山,中区/11层,朝南北,880,65344,
长江路68弄,2室1厅,61.73,宝山,高区/6层,朝南北,265,42928,1995年建
经纬城市绿洲,3室2厅,116.16,宝山,高区/13层,朝南北,610,52513,2007年建
枫庭丽苑,3室2厅,136.46,宝山,低区/10层,朝南北,780,57159,
宝山三村,2室1厅,52.79,宝山,中区/6层,朝南北,258,48872,1994年建
中环1号（一期）,3室2厅,115.72,宝山,低区/13层,朝东南,635,54873,2008年建
古北菊翔苑（菊联路233弄）,2室2厅,74.45,宝山,低区/8层,朝南北,360,48354,2008年建
共和小区,2室1厅,66.23,宝山,高区/6层,朝西南,340,51336,1996年建
大华一村,2室2厅,87.87,宝山,高区/6层,朝南,475,54057,1996年建
华鹏花苑,2室1厅,84.97,宝山,高区/6层,朝南,450,52959,1997年建
高境一村,2室1厅,68.9,宝山,高区/6层,朝南,350,50798,1995年建
九英里,2室2厅,149.65,宝山,低区/11层,朝南北,675,45105,2007年建
枫桥湾名邸,3室2厅,120.08,宝山,高区/6层,朝南北,675,56212,2003年建
共富三村,3室2厅,106.84,宝山,低区/6层,朝南,450,42119,2001年建
文华苑（宝山）,2室2厅,85.65,宝山,高区/6层,朝南,530,61879,1999年建
杨泰二村,2室1厅,73.86,宝山,高区/6层,朝,275,37232,1993年建
康泰新城,3室1厅,121.06,宝山,中区/7层,朝南北,640,52866,
宝景苑,2室2厅,102.09,宝山,低区/11层,朝南北,520,50935,2007年建
海尚明城,2室2厅,100.5,宝山,低区/18层,朝南北,365,36318,2008年建
远洋香奈,2室2厅,80.35,宝山,低区/18层,朝南,380,47293,
高境一村,1室1厅,45.53,宝山,高区/6层,朝南,255,56007,1995年建
远洋香奈,3室2厅,108.68,宝山,中区/18层,朝南北,475,43706,
宝林一村,2室1厅,54.56,宝山,低区/5层,朝南,290,53152,1998年建
逸仙路1321弄,1室1厅,47.5,宝山,低区/6层,朝南北,235,49473,1994年建
逸仙一村,1室1厅,39,宝山,中区/6层,朝南,225,57692,1992年建
共富一村,1室1厅,50.97,宝山,低区/6层,朝南北,240,47086,1997年建
通河四村,2室1厅,66.27,宝山,低区/6层,朝东西,318,47985,1997年建
乾溪新村,2室2厅,74.03,宝山,高区/6层,朝南北,325,43901,1993年建
吉浦路615弄,2室1厅,58.45,宝山,高区/6层,朝南北,310,53036,1996年建
殷高小区,2室1厅,68.56,宝山,低区/6层,朝南北,370,53967,1994年建
淞南五村,2室1厅,60.35,宝山,中区/6层,朝南北,295,48881,1997年建
宝钢九村,2室1厅,81.58,宝山,高区/13层,朝南,320,39225,1988年建
梧桐城邦（公寓）,3室2厅,117.32,宝山,低区/14层,朝南北,640,54551,2006年建
共康公寓,2室2厅,84.74,宝山,高区/6层,朝南北,482,56879,2003年建
铂金华府,2室2厅,82.42,宝山,中区/11层,朝西,575,69764,
上大阳光乾清园,3室2厅,113.45,宝山,高区/6层,朝南北,518,45658,2002年建
滨江雅苑,3室2厅,133.32,宝山,低区/11层,朝南北,749,56180,
通河四村,1室1厅,44,宝山,高区/6层,朝南,260,59090,1989年建
古北菊翔苑（菊联路233弄）,2室1厅,74.13,宝山,中区/8层,朝南北,370,49912,2008年建
大华二村,2室1厅,65,宝山,中区/6层,朝南北,388,59692,1996年建
馨佳园（韶山路418弄）,2室1厅,79.73,宝山,中区/11层,朝南北,345,43271,2009年建
共康五村,2室1厅,64.42,宝山,高区/6层,朝南,310,48121,
通河四村,1室1厅,43.36,宝山,低区/6层,朝南,220,50738,1994年建
宝启公寓,1室1厅,46.4,宝山,高区/6层,朝南,225,48491,2000年建
共富四村,2室2厅,81.69,宝山,低区/6层,朝南北,350,42844,
宝钢九村,2室1厅,70.13,宝山,中区/13层,朝南北,275,39212,1988年建
成事高邸,2室2厅,94.6,宝山,中区/6层,朝南北,510,53911,2006年建
宝钢九村,2室1厅,65.8,宝山,低区/5层,朝南,295,44832,1994年建
罗南一村,1室1厅,49.97,宝山,高区/5层,朝南北,185,37022,1991年建
久千公寓,2室1厅,58.31,宝山,中区/7层,朝南北,300,51449,1995年建
盛世宝邸（一期）,2室2厅,84.4,宝山,低区/16层,朝南,550,65165,2010年建
菊泉新城（陆翔路678弄）,2室1厅,79.1,宝山,中区/5层,朝南北,330,41719,2005年建
富长苑,3室2厅,119.47,宝山,高区/6层,朝南,398,33313,2009年建
民主敦发小区,1室1厅,46.87,宝山,高区/6层,朝南,230,49071,1997年建
梧桐城邦（公寓）,3室2厅,80.41,宝山,高区/5层,朝南北,580,72130,2008年建
菊泉新城（陆翔路358弄）,2室1厅,70.81,宝山,中区/6层,朝南北,370,52252,2005年建
宝钢七村,2室1厅,51.49,宝山,高区/5层,朝东南,210,40784,1978年建
经纬城市绿洲,2室2厅,110.69,宝山,中区/11层,朝南北,542,48965,2005年建
华浜二村,1室1厅,43.64,宝山,高区/6层,朝南,188,43079,1995年建
共康六村,2室2厅,65.55,宝山,高区/6层,朝南,318,48512,1996年建
经纬城市绿洲,3室2厅,116.24,宝山,高区/13层,朝南北,650,55918,2007年建
吴淞新城,2室2厅,120.08,宝山,低区/17层,朝南,636,52964,2002年建
上大阳光乾澄园,2室2厅,96.1,宝山,中区/6层,朝南,480,49947,1997年建
海滨新村,3室1厅,78.76,宝山,低区/3层,朝南,340,43169,
大华二村,2室1厅,87.36,宝山,高区/6层,朝,430,49221,1997年建
殷高路150弄,1室1厅,40.19,宝山,高区/6层,朝南北,300,74645,1995年建
久华佳苑,2室2厅,100.23,宝山,低区/14层,朝南北,655,65349,
呼玛三村,3室2厅,123.78,宝山,高区/6层,朝南北,570,46049,1999年建
宝林二村,1室1厅,41.42,宝山,高区/6层,朝南,185,44664,1990年建
宝林二村,1室1厅,41.42,宝山,高区/6层,朝南,185,44664,1990年建
宝林二村,1室1厅,41.42,宝山,高区/6层,朝南,185,44664,1990年建
大华三村二街坊,2室2厅,72.31,宝山,高区/6层,朝南,420,58083,1995年建
玉华苑,1室1厅,53.11,宝山,中区/6层,朝南北,335,63076,1999年建
宝林二村,1室1厅,41.42,宝山,高区/6层,朝南,172,41525,1990年建
海尚明城,3室2厅,124.08,宝山,中区/18层,朝南北,490,39490,2008年建
岭南雅苑,2室2厅,91.76,宝山,低区/6层,朝南北,530,57759,2002年建
新天地荻泾花园,2室2厅,89.8,宝山,低区/9层,朝南北,395,43986,2010年建
海尚明城,2室2厅,99.83,宝山,低区/18层,朝,410,41069,2008年建
泰和新城,2室2厅,67.44,宝山,高区/6层,朝南,248,36773,
聚丰景都,3室2厅,142.09,宝山,高区/14层,朝南北,640,45041,2008年建
上大阳光乾澄园,4室3厅,123.82,宝山,高区/6层,朝南,515,41592,2007年建
圣卡洛铂庭,3室1厅,105.09,宝山,中区/14层,朝南北,430,40917,2007年建
中环1号（一期）,2室2厅,88.43,宝山,低区/14层,朝南,510,57672,2011年建
保利叶之林,3室2厅,102.88,宝山,中区/14层,朝南北,610,59292,
通河七村,2室1厅,69.91,宝山,低区/6层,朝南,320,45773,1995年建
宝宸共和家园,2室2厅,97.38,宝山,低区/18层,朝南北,655,67262,2008年建
华馨苑（公寓）,3室2厅,128.4,宝山,高区/6层,朝,460,35825,2001年建
牡丹华庭,3室2厅,215.32,宝山,高区/17层,朝南北,1350,62697,2014年建
经纬城市绿洲,2室2厅,110,宝山,低区/18层,朝南,650,59090,
保利叶语（公寓）,4室2厅,121.18,宝山,中区/17层,朝南北,710,58590,2013年建
高境二村,2室1厅,76.97,宝山,低区/6层,朝南,400,51968,1996年建
新梅绿岛苑,3室2厅,100.86,宝山,高区/6层,朝南北,560,55522,2007年建
呼玛五村,2室2厅,82.81,宝山,高区/6层,朝南北,360,43473,1997年建
美兰湖岭域,3室2厅,91.36,宝山,低区/7层,朝南北,410,44877,2009年建
馨佳园（韶山路418弄）,1室1厅,55.03,宝山,低区/6层,朝南,248,45066,2009年建
天馨花园（公寓）,3室2厅,167.84,宝山,中区/10层,朝南北,665,39621,2005年建
共江小区,1室1厅,55.02,宝山,高区/6层,朝南北,270,49073,1998年建
和欣国际花园,3室2厅,83.35,宝山,低区/17层,朝南北,650,77984,2010年建
采菊苑,1室1厅,58.11,宝山,中区/11层,朝南,260,44742,2008年建
保利叶语（公寓）,3室2厅,116.34,宝山,低区/21层,朝南北,650,55870,2013年建
共富一村,2室2厅,77.46,宝山,高区/6层,朝南,315,40666,1995年建
通河八村,2室1厅,60.84,宝山,低区/6层,朝南,300,49309,1994年建
乐业一村,2室1厅,59.08,宝山,高区/6层,朝南,230,38930,1994年建
锦秋花园（公寓）,3室2厅,137.07,宝山,低区/6层,朝南北,598,43627,2007年建
共康五村,2室2厅,65.83,宝山,低区/6层,朝南北,340,51648,1994年建
高境二村,3室1厅,131.86,宝山,高区/6层,朝南,580,43986,1996年建
华能城市花园,2室2厅,96.59,宝山,高区/6层,朝南,570,59012,2001年建
大华一村,2室1厅,66.19,宝山,中区/6层,朝南,380,57410,1993年建
共富一村,2室1厅,76.87,宝山,高区/6层,朝南北,308,40067,1997年建
宝山三村,2室1厅,52.79,宝山,高区/6层,朝南北,234,44326,1994年建
淞南三村,3室1厅,73.38,宝山,低区/6层,朝南,385,52466,1995年建
复星新苑,2室2厅,89.54,宝山,高区/6层,朝南北,515,57516,2000年建
大华二村,2室1厅,66.54,宝山,低区/6层,朝南,375,56357,1995年建
宝地绿洲城,2室2厅,89.97,宝山,高区/6层,朝南北,435,48349,2005年建
柏丽华庭,2室2厅,98.25,宝山,低区/18层,朝南,460,46819,2007年建
菊泉新城（陆翔路358弄）,1室1厅,56.93,宝山,高区/6层,朝南北,255,44791,2005年建
申泉花苑,2室2厅,86.38,宝山,高区/6层,朝南北,395,45728,1998年建
幸之苑,2室2厅,111.04,宝山,中区/16层,朝南北,600,54034,2007年建
经纬城市绿洲,3室2厅,114.11,宝山,中区/17层,朝南北,600,52580,2010年建
海滨七村,1室1厅,40.05,宝山,高区/6层,朝南,165,41198,1986年建
祁连二村,2室1厅,59.34,宝山,高区/6层,朝南北,272,45837,1994年建
华浜新村,2室1厅,48.17,宝山,低区/6层,朝南,220,45671,1985年建
共富一村,2室2厅,76.82,宝山,高区/6层,朝南北,298,38791,1997年建
古北菊翔苑（菊联路232弄）,3室2厅,93.13,宝山,中区/8层,朝南北,450,48319,2008年建
海滨七村,1室1厅,42.3,宝山,中区/6层,朝南,190,44917,1987年建
通河八村,2室1厅,69.13,宝山,高区/7层,朝南,305,44119,1994年建
泰和新城,1室1厅,44.99,宝山,高区/6层,朝南,193,42898,
海尚明城,1室1厅,61.74,宝山,低区/18层,朝南,267,43245,2008年建
呼玛一村,1室1厅,40.79,宝山,中区/6层,朝南,205,50257,1994年建
祁连欣苑,2室2厅,95.7,宝山,中区/6层,朝南北,445,46499,2003年建
