SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.128178988,46,0,0.054868141,8000,8,0,0,0,1
0,0.001990172,80,0,0.000249958,12001,8,0,0,0,0
0,0.246415814,35,1,0.323671498,6416,19,0,1,0,0
0,0.269596974,46,0,0.053325433,6750,4,0,0,0,0
0,0.012166482,77,0,0.187521426,5833,8,0,1,0,0
0,0.038289507,78,0,479,NA,9,0,0,0,0
0,0.9999999,21,0,0,1200,0,0,0,0,0
0,0.018332111,63,0,0.654115587,3425,10,0,1,0,1
0,0.100641139,32,0,0.008331945,6000,2,0,0,0,0
0,0.576674294,56,0,0.356751035,10390,25,0,2,0,1
0,0.034198577,68,0,0.476154428,5283,10,0,2,0,0
0,0.131213901,34,0,0.228902522,7334,9,0,2,0,0
0,0.122966326,73,0,1016,NA,10,0,1,0,0
0,0.04045749,65,0,0.986113482,17570,20,0,11,0,0
0,0.167747385,48,1,0.636907501,4345,13,0,1,0,0
0,0.060878894,70,1,0.242207892,13025,8,0,2,0,0
0,0.020256688,47,0,2698,NA,9,0,1,0,0
0,0.946323172,49,1,0.810940499,2083,4,1,1,1,1
0,0,69,0,0.648900733,3001,5,0,2,0,0
0,0.021119155,61,0,0.498626572,6916,5,0,1,0,0
0,0.137616399,43,0,1492,NA,9,0,1,0,NA
0,0.034658788,49,0,0.277264522,9416,13,0,1,0,0
0,0.013518018,60,0,0.711762746,3000,6,0,1,0,0
0,0.657801494,81,0,0.131962296,3500,4,0,0,0,0
0,0.230600979,46,0,0.326866301,2370,5,0,0,0,1
0,0.0815912,42,0,0.233220847,8000,9,0,2,0,0
0,0,39,1,0.078992101,10000,4,0,0,0,0
0,1.026192372,52,5,0.653604776,6532,25,0,2,0,0
0,0.280553502,61,0,0.122807018,11000,16,0,0,0,0
0,0.004931706,44,0,1410,NA,4,0,1,0,0
0,0.381794972,67,1,0.187762448,5000,17,0,0,0,0
0,0,32,1,0.151688312,5774,9,0,0,1,4
0,0.715472162,37,1,0.124441308,4250,3,0,0,0,3
0,0.137233414,44,0,0.580053496,2616,11,0,1,0,0
0,0.044750653,45,0,372,NA,4,0,0,0,NA
0,0.604039048,39,0,0.447078989,7000,8,0,2,0,4
0,0.982516284,54,2,0.231838775,6400,5,0,0,0,0
0,0.084915085,59,2,0.182702861,13666,2,0,1,0,0
0,0.529494101,69,0,115,NA,3,0,0,0,0
0,0.9999999,63,1,0.00759631,1842,1,1,0,0,1
0,0.155149868,50,0,0.29342787,7333,6,0,1,0,2
0,0.12592736,27,0,1392,NA,8,0,2,0,0
0,1.566866267,46,2,0.104982503,6000,3,2,0,0,0
0,0.041629923,62,0,3494,1,14,0,3,0,0
0,0,56,0,168835,NA,10,0,3,0,2
0,0.302175318,56,0,0.255552719,11750,6,0,1,0,0
0,0.453210436,46,0,0.260284506,2600,6,0,0,0,2
0,0.047626111,47,0,115,NA,10,0,0,0,0
1,0.9999999,42,0,0.392871287,5049,4,2,2,0,2
1,0.565974846,61,0,0.682341416,8165,10,1,3,0,1
0,0.068166326,81,0,892,0,4,0,1,0,0
0,0.9999999,74,0,0,NA,1,0,0,0,0
0,0.02105184,58,0,724,NA,4,0,1,0,0
1,0.75128109,38,3,0.701099633,3000,7,1,1,1,2
1,1.003997335,63,2,1.21627566,1363,6,1,1,0,0
0,0.043615861,52,0,48,NA,5,0,0,0,0
0,0.044998393,43,0,0.209379062,10000,5,0,1,0,1
0,0,47,0,0.418488445,1600,5,2,0,0,0
0,0.76954592,54,0,0.385709867,6465,9,0,1,0,0
0,0.031775635,43,0,0.314567029,3960,9,0,2,0,1
0,0.715034513,39,0,0.615311369,5250,8,0,2,0,2
0,0.950820697,56,1,0.662900849,14250,11,0,2,0,1
0,0.9999999,45,0,2.264779351,1200,3,0,2,0,2
0,0.225645562,47,0,0.284040496,8790,6,0,1,0,0
0,0.306897931,66,0,2073,NA,4,0,1,0,2
0,0.9999999,23,0,0,847,1,0,0,0,0
0,0.07425925,59,0,0.412698413,1700,11,0,0,0,1
0,0.119949324,76,0,0.461008665,4500,6,0,1,0,1
0,0.017512196,56,0,2135,NA,10,0,1,0,5
0,0.007817826,68,0,0.001764291,2833,3,0,0,0,0
0,0,33,0,0.191293576,5650,8,0,1,0,1
0,0.289371347,38,0,0.612096976,4000,7,0,2,0,2
0,0.154042447,64,2,4210,NA,15,0,3,0,0
0,0.857944153,61,0,0.224030842,4668,20,0,0,0,0
0,0.141833704,45,0,0.514693097,5750,14,0,2,0,2
0,1.123876124,26,1,0.356158993,2540,5,3,0,3,2
0,0.051479906,48,0,0.356625735,25000,16,0,4,0,2
0,0.751469829,38,0,0.709842257,4500,5,0,1,0,2
0,0.696224732,49,0,0.735852829,5000,13,0,1,0,0
0,0.012361584,76,0,0.813137495,2450,4,0,1,0,0
1,0,60,3,0.292697378,6750,5,1,1,2,0
0,0.048462333,63,0,0.561892131,4523,6,0,2,0,1
0,0.257643937,67,0,200,NA,4,0,0,0,0
0,0.380177842,59,0,0.23568735,5833,6,0,1,0,1
0,0.81031169,48,0,0.466771068,10216,15,0,1,0,0
0,1.60E-05,80,0,0.716395305,2640,14,0,1,0,0
0,0.158722752,59,0,0.052973513,2000,4,0,0,0,1
0,0.135807372,65,0,0.044782087,2500,3,0,0,0,0
0,0.016432992,63,0,0.233980087,7833,3,0,1,0,0
0,0.048966776,78,0,0.020595881,5000,4,0,0,0,0
1,0.142115904,43,0,0.598731574,5833,8,0,2,0,3
0,0.047254715,64,1,64,NA,5,0,0,0,0
0,0.985735235,51,0,0.413799482,5405,6,0,1,0,0
0,0.04219578,38,0,0.352202806,8125,4,0,1,0,2
0,0.054697967,45,0,0.331698664,9583,5,0,1,0,0
0,0.103744813,34,0,0.152474588,6000,7,0,0,0,0
1,1.331797235,41,3,1099,NA,7,0,0,1,0
1,0.962993506,42,0,0.425616322,3528,7,0,0,0,2
0,0.011226239,59,0,0.29631224,6968,8,0,1,0,0
0,0.9999999,48,1,0.003845168,3900,0,1,0,1,2
0,0.036107639,42,0,0.079873569,11705,12,0,1,0,4
0,0.587841216,33,0,0.304836895,2666,5,0,0,0,0
0,0.404261217,58,1,0.431303435,13333,15,0,3,0,2
0,0.9999999,61,0,0.0970495,4100,1,1,0,1,2
0,0.48935721,48,0,0.393285905,8995,9,0,1,0,0
0,0.11475541,53,0,940,NA,3,0,1,0,0
0,0.107991361,66,1,1560,NA,8,0,1,0,0
0,0.107964287,70,0,0.033370829,8000,5,0,0,0,0
0,0.460269865,42,1,6962,NA,8,0,4,0,3
0,0.103775215,65,0,0.222071349,8100,6,0,2,0,3
0,0.667713881,38,0,0.129967508,4000,4,0,0,0,3
0,0.195358053,44,6,0.296411856,7691,13,0,2,0,4
1,0.59304296,63,0,0.506606356,8400,12,1,2,0,0
0,0.239191525,67,0,0.199641404,14500,12,0,1,0,0
0,0.056885177,58,1,0.438935817,12666,16,0,2,0,0
0,0.296525124,64,0,0.585913127,8333,6,0,2,0,1
0,0.068771556,57,0,309,NA,12,0,1,0,2
1,0.897489686,28,0,0.776111944,2000,8,0,0,0,0
0,0.021356761,60,0,0.344487402,7500,10,0,1,0,1
0,0.021131925,30,2,0.002347418,3833,4,0,0,0,0
0,0.9999999,38,0,0.335416146,4000,2,0,0,0,1
0,0.487349163,41,0,0.277352018,13700,14,0,2,0,1
0,0.442455952,48,0,1.289990645,5344,20,0,4,0,0
0,0.120487853,71,0,0.305092665,6420,3,0,1,0,1
0,0.015553206,35,0,3611,NA,12,0,2,0,0
0,0.016939347,61,1,0.195331249,13750,6,0,1,0,0
0,0.063563073,68,0,78,NA,3,0,0,0,0
0,0.037468384,35,0,0.116739581,4342,3,0,0,0,0
0,0.80620801,48,0,0.294032375,8277,9,0,2,0,2
0,0.023180765,82,0,0.002349256,6384,1,0,0,0,0
0,0.172373699,53,0,0.137095408,5900,2,0,1,0,3
0,0.792340898,40,0,0.504346761,8166,13,0,0,0,0
0,0.29194258,29,0,0.457344452,3117,6,0,1,0,1
0,0,68,0,123,0,12,0,1,0,0
0,0.072491165,55,0,0.25144978,4310,7,0,1,0,1
1,0.992225102,36,0,955,NA,8,0,0,0,0
0,0.096409434,41,0,0.259581559,5400,8,0,1,0,3
0,0.056929538,50,0,3013,NA,3,0,1,0,0
0,0.061288243,42,0,1114.5,1,6,0,1,0,2
0,0.893569987,53,2,0.875412459,10000,20,0,1,2,0
0,0.732066202,52,0,0.333162218,7791,10,0,0,1,0
0,0.307175013,71,0,0.266953125,12799,18,0,2,0,0
0,0.04051906,69,0,0.020489755,2000,6,0,0,0,0
0,0.206289523,38,0,0.295269168,5516,12,0,0,0,1
0,0.053769892,56,0,0.240222477,11326,10,0,1,0,1
0,0.476576171,40,0,0.397273978,7996,5,0,2,0,1
0,0.692301439,75,0,0.201999487,3900,9,0,1,0,0
0,0.257241157,69,1,0.288913774,6250,11,0,0,0,0
0,0.328830046,37,0,0.005999,6000,5,0,0,0,0
0,0.9999999,27,0,476,0,1,0,0,0,0
0,0.073437039,54,0,1.368895567,1330,5,0,1,0,2
0,0.871661437,58,0,0.535861124,4377,6,0,2,0,1
0,0.010256191,68,0,0.001333206,10500,8,0,0,0,0
1,0.291306359,42,0,0.518296341,1666,9,0,1,0,0
0,0.260734595,43,0,0.416320971,16150,14,0,2,0,1
0,1.178928247,40,2,0.096074128,4100,5,0,0,1,2
0,0.471084282,59,2,0.721046492,6000,16,0,2,0,0
0,0,53,1,569,NA,2,0,0,0,0
0,0.044760855,51,0,0.446420215,6410,12,0,1,0,0
1,0.952629292,65,1,1.086778737,2200,4,0,1,1,1
0,0.676835727,53,0,4809,NA,12,0,2,0,0
0,0,67,0,0.215192597,4646,4,0,1,0,0
0,0.261941948,42,0,0.227934876,3500,6,0,0,0,0
0,0,70,0,0.272715152,15000,10,0,1,0,1
0,0.316489177,46,0,0.289921466,4583,10,0,0,0,0
0,0.559842764,83,1,0.53820598,902,5,0,0,0,0
0,0.0538919,74,0,0.0041511,7226,5,0,0,0,0
0,0.612622416,53,0,2933,NA,12,0,2,0,3
0,0.551817433,26,0,0.056391316,11100,6,0,0,1,0
0,0.025220124,65,0,0.00539892,5000,6,0,0,0,0
0,0.028453683,58,0,0.383757312,7350,5,0,2,0,0
0,0.94598322,56,0,0.656155104,4280,3,0,1,0,0
0,0.379041397,49,2,0.10078534,4583,4,0,1,0,2
0,0.174357455,32,0,0.27086805,6600,5,0,2,0,2
0,0.05512726,35,0,2060,NA,10,0,2,0,1
0,0.129974005,88,0,29,NA,5,0,0,0,0
0,0.232633891,68,0,0.531039293,4300,15,0,2,0,0
0,0.690869698,63,0,5471,NA,9,0,3,0,0
0,0.887721435,60,4,1.313895216,4389,12,0,2,0,1
0,0.331633367,57,0,0.526667362,9580,9,0,1,0,3
0,0.149721264,39,0,0.303429586,10700,8,0,1,0,0
0,0.108975055,31,0,0.322782481,8150,15,0,2,0,1
0,0.303133764,47,0,0.382803821,4500,5,0,1,0,0
0,0.640669916,71,0,0.387884554,3152,10,0,1,0,0
0,0.647272045,74,0,0.272121437,2700,6,0,0,0,0
0,0.516205291,54,1,0.274175454,4456,7,0,0,0,1
0,0.153128229,32,1,0.082166879,5500,6,0,0,0,3
0,0.413589581,55,0,1.205276175,1212,9,0,1,0,0
0,0.273258139,44,0,3.762904637,1142,5,0,2,0,2
0,0.100263752,43,0,0.458429266,3908,23,0,0,0,0
0,0.105212225,57,0,2270,NA,5,0,1,0,0
0,0.902260962,41,0,0.629763131,5825,11,0,4,0,0
0,0.634156698,55,0,0.180896354,12918,16,0,0,0,0
0,0.010342718,52,0,2874,NA,16,0,2,0,0
0,0.9999999,47,0,0,NA,4,0,0,0,0
0,0.00055384,85,0,9.52E-05,10500,12,0,0,0,0
0,0.015355006,54,0,0.373267848,5700,10,0,2,0,0
0,0.301555955,44,0,0.639738766,14086,11,0,4,0,1
1,0.99380124,29,2,0.296685955,1900,7,0,0,0,0
0,0,77,0,0.034753776,57000,16,0,1,0,0
0,0.049306934,65,0,0.349930014,5000,6,0,1,0,1
0,0.009538849,70,0,0.190613087,16000,13,0,3,0,0
0,0.162268146,56,0,123,NA,2,0,0,0,NA
0,0.702287049,72,0,0.264388489,6671,14,0,0,0,0
1,0.19873338,41,0,10333,NA,10,0,8,0,1
0,0.367017608,46,0,0.260030125,7302,8,0,1,0,1
0,0.025965222,77,0,1986,NA,6,0,2,0,0
0,0.9999999,29,1,0.172447968,4035,6,0,0,3,1
0,0.288108449,78,0,0.361340021,5581,15,0,1,0,0
0,0.856233904,41,0,0.224726234,6300,8,0,0,0,0
0,0.000299985,50,0,0.270039622,6561,5,0,2,0,1
0,0.072416238,86,0,0.006398294,3750,4,0,0,0,1
0,0,82,0,0,10500,5,0,0,0,0
0,1.174579661,59,0,0.231010297,6700,21,0,0,0,0
0,0.144650778,45,1,0.504148054,4700,12,0,1,0,2
0,0.168290202,63,0,0.129833474,7085,7,0,1,0,1
0,0.000978155,42,0,0,7500,3,0,0,0,2
0,0.477829753,45,0,0.432628798,9083,16,0,2,0,0
0,0.81592905,27,0,939,NA,13,0,0,0,0
0,0.902119382,74,1,1.023916293,3344,9,0,1,0,2
0,0.085103644,63,0,0.271272873,10000,4,0,1,0,1
0,0.183352015,29,0,0.240610178,7800,5,0,1,0,0
0,0.070635079,62,0,0.384717903,2250,7,0,0,0,0
0,0.008286563,64,0,0.011427483,10500,9,0,0,0,0
0,0.9999999,39,0,0.01975417,6833,0,0,0,0,1
0,0.033872111,66,0,0.435236004,3643,8,0,1,0,1
0,0.722685482,54,2,6900,NA,14,0,3,0,1
0,0.264963197,51,0,3554,NA,14,0,1,0,NA
0,0.805255981,47,0,0.528643689,8500,8,0,2,0,2
0,0.2493793,62,0,0.22825145,15000,22,0,1,0,0
0,0,43,0,498,NA,4,0,0,0,2
0,0.104919353,68,0,0.312180694,3718,6,0,1,0,1
0,0.017302341,65,0,140,NA,3,0,0,0,0
0,0.20352571,44,0,0.230226894,7800,12,0,1,0,0
0,0.112790053,53,1,0.636947665,12763,12,0,5,0,2
0,0.000588212,73,0,0,NA,6,0,0,0,NA
0,0.327103144,53,0,0.666123613,9820,6,0,2,0,0
0,0,57,0,0.235023041,11500,9,0,1,0,0
0,0.438202247,29,0,0.116838488,3200,5,3,0,0,3
1,0.77279919,46,0,0.251651559,6508,11,0,0,0,0
0,0,37,0,3338,NA,9,0,1,0,NA
0,0.397703956,47,0,0.349331773,10250,9,0,1,0,2
0,0.932669472,46,0,1.000499875,4000,10,0,2,0,3
0,0,51,0,0.338650161,8400,8,0,2,0,2
0,0.441737773,57,1,0.385989249,11533,18,0,1,0,0
0,0,64,0,0.357479026,4886,5,0,1,0,0
0,0.094401703,55,0,0.387329476,14000,11,0,3,0,3
0,0.710767705,52,0,0.407423208,4687,8,0,1,0,0
0,0.035749049,71,0,1239,NA,3,0,1,0,0
0,0.9999999,35,0,0.259510401,8700,4,0,2,0,0
0,0.006387098,40,0,0.159755841,4750,9,0,1,0,0
0,0.024125691,57,0,0.004273973,9124,5,0,0,0,1
0,1.126873127,30,0,0.013301088,2480,1,0,0,0,0
0,0.90171906,43,0,0.761709121,3650,5,0,1,0,0
0,0.005485872,57,0,0.142143012,4600,10,0,1,0,1
0,0.9999999,52,0,0,NA,0,0,0,0,0
0,0.003870864,48,0,0.127621483,7819,8,0,0,0,1
0,0.475416223,53,0,2.365192582,700,8,0,1,0,0
0,0.072120192,48,0,1121,NA,6,0,1,0,2
0,0.298745026,27,0,0.90736342,420,6,0,0,0,0
0,0.333574559,74,0,0.498250292,6000,15,0,2,1,1
0,0.269328468,45,0,1177,NA,9,0,1,0,2
0,0.027906554,63,0,2001,NA,5,0,2,0,0
0,0.9999999,33,98,0,1500,0,98,0,98,0
0,0.069330252,45,0,0.190226222,8000,8,0,1,0,0
0,0.9999999,75,0,0.338380015,1320,4,0,0,0,0
0,0.032684427,45,0,1685,NA,5,0,2,0,0
0,0.001670569,47,0,2547,NA,11,0,1,0,0
0,0.182717609,33,0,0.300062217,11250,4,0,1,0,0
0,0.115588547,42,0,0.340585506,6250,6,0,2,0,0
0,0.045265559,56,0,0.346623874,8100,9,0,2,0,0
0,0.939658543,45,0,0.172592337,2896,6,0,0,0,1
0,0.272163156,29,0,0.054918688,3750,7,0,0,0,0
0,0.06777153,74,0,0.333767927,2300,8,0,1,0,0
0,0.055800971,46,0,1886,NA,7,0,1,0,NA
0,0.307038476,60,0,0.196380896,13483,5,0,2,0,2
0,0.459233737,66,0,0.419779064,1900,4,0,0,0,0
0,0.749589412,53,0,0.034055728,6782,6,0,0,0,0
0,0.007693585,67,0,0.154542711,3312,16,0,1,0,0
1,0.942072687,39,4,3033,NA,5,0,2,0,0
0,0,45,0,0,NA,1,0,0,0,0
0,0.048493613,64,0,0.249001874,12272,8,0,2,0,0
0,0.02279772,42,0,0.003605375,3050,6,0,0,0,1
0,0.787588318,46,0,0.648235054,4900,15,0,1,0,2
0,0.091537133,57,0,0.4204513,3500,4,0,1,0,0
0,0.062293771,35,0,1130,NA,4,0,1,0,0
0,0.050385471,78,0,0.062271898,8767,6,0,0,0,0
0,0.233316786,51,0,0.011877066,8166,4,0,0,0,1
0,1.068965517,33,0,1.508305648,300,3,0,0,0,0
0,0.976222345,30,0,0.284229284,3366,9,0,0,0,0
0,0.00564573,83,0,0.140437544,1416,2,0,0,0,0
0,0.007026869,59,0,0.30071599,9636,5,0,2,0,2
0,0.01049965,56,0,0.341886988,3857,10,0,1,0,1
0,0.196593971,51,0,1394,NA,7,0,1,0,0
0,0.20190553,61,0,0.396864541,5676,23,0,1,0,0
0,0.863427315,44,0,0.239084229,16466,12,2,4,0,0
0,0.270500713,46,0,0.421957804,10000,11,0,3,0,0
0,0.430594637,48,0,0.228860516,4150,5,0,0,0,3
0,0.352664734,35,0,0.346059449,11000,5,0,2,0,1
0,0.003721716,49,0,0.001175433,6805,8,0,0,0,0
0,0.482038151,42,0,0.08432882,11300,4,0,0,0,4
0,0.004185134,61,0,0.00166113,6019,6,0,0,0,0
0,0.006927627,62,0,0.002666222,6000,7,0,0,0,0
0,0.220476309,67,0,4993,NA,18,0,2,0,1
0,0.116460948,54,1,0.244344457,8000,8,0,2,0,2
1,0.030300997,47,0,0.008247938,4000,6,0,0,0,0
0,0.019680505,42,0,2199,NA,10,0,1,0,1
0,1.009993754,32,2,0.422585866,5560,7,0,1,0,0
0,0.045986146,77,0,104,NA,8,0,0,0,0
0,0.334424628,74,1,0.13093991,10500,19,0,0,0,0
0,0.9999999,51,0,7,NA,4,0,0,0,NA
0,0.116477168,67,0,0.363695937,15259,8,0,2,0,0
1,1.857819905,43,1,0.017697081,4350,1,0,0,0,2
0,0.512327066,61,3,0.439263995,6412,18,0,2,0,0
0,0.418104593,34,0,0.072824951,6700,5,0,0,0,0
0,0.543456543,28,0,0.00551534,2900,1,0,0,0,0
0,0.9999999,27,0,0.187235679,2600,3,0,0,0,0
0,0.040254589,76,0,2033,NA,8,0,1,0,0
0,0,47,3,0.637613246,3200,14,0,2,0,5
0,0.005082996,60,0,0.062120292,13167,26,0,1,0,2
0,0.014873899,60,0,0.312127464,8723,14,0,2,0,0
0,0.917344354,30,1,0.235546039,1400,6,0,0,0,0
0,0.007546075,87,0,0.002777263,5400,7,0,0,0,0
0,0.030827691,37,0,0.49410118,5000,7,0,1,0,3
0,0.364568733,77,0,0.47186096,8457,16,0,2,0,0
0,0.049009915,62,0,0.108518864,7500,5,0,1,0,1
0,0.006894872,78,0,1339,NA,16,0,0,0,0
0,0.124792869,56,0,5164,NA,3,0,1,0,0
0,0.396705676,40,1,3071,NA,7,0,2,0,0
0,0.127382988,75,0,0.370234178,5166,6,0,2,0,0
0,0.302531688,39,0,0.262085441,7115,9,0,2,0,1
0,0.082576988,85,0,0.316370809,2534,11,0,0,0,0
0,0.010206193,45,0,148,NA,5,0,0,0,0
1,0.1401179,53,0,0.34455496,3920,8,0,1,0,1
0,0.9999999,56,0,0.279748707,2705,4,0,0,0,0
0,0.069017591,51,0,0.213422708,12083,8,0,1,0,4
0,0.204439778,62,0,0.301385516,7000,4,0,2,0,0
0,0.021994789,64,0,1579,NA,9,0,1,0,NA
0,0.082383605,60,0,1129,NA,7,0,1,0,0
0,0.013899305,81,0,818,NA,3,0,1,0,NA
0,0.333656526,53,1,0.152735151,5538,9,0,0,0,1
0,0.012199756,78,0,0.011242973,1600,9,0,0,0,0
0,1.00679864,51,0,0.530497967,15000,11,0,3,0,2
0,0.97634122,52,0,0.021383902,4956,4,0,0,0,2
1,1.062392987,46,1,0.29356881,3000,7,0,0,0,0
0,0.9999999,37,0,1439,NA,1,0,1,0,0
0,0.948293101,42,4,0.502767363,5600,7,3,1,2,2
0,0.419515124,50,0,0.637045369,8000,11,0,2,0,0
0,0.64148428,26,0,0.253024724,1900,4,0,0,0,0
0,0.041337722,42,0,0.234887737,11000,13,0,2,0,2
0,0.007692156,53,0,0.519476043,2900,10,0,1,0,0
0,0.077809798,54,0,0.386389075,4466,10,0,2,0,0
0,0.147047386,48,1,0.140868412,3016,6,0,0,0,0
0,0.876765083,37,1,0.859739473,3300,8,0,1,0,3
0,0.116990284,62,0,0.222879684,1520,5,0,0,0,1
0,0.038105312,53,1,0.280943811,5000,15,0,1,0,1
1,0.123350658,53,1,1131,NA,18,0,2,0,2
0,0.382841216,52,0,0.660442028,8460,23,0,2,0,1
0,0.245321651,46,0,0.345220976,10430,4,0,2,0,0
0,0.574252926,49,0,0.319736053,3333,9,0,1,1,3
0,0.402112561,54,0,1.116801999,3201,9,1,2,0,0
0,0.663491064,40,0,0.270820632,8200,9,0,1,0,2
0,0.016516643,72,0,0.621056363,2820,11,0,2,0,0
0,0.080156794,75,0,0.005538121,10833,4,0,0,0,0
0,0,44,0,0.456423929,6000,6,0,1,0,0
0,0.152442474,59,0,0.292005983,6016,6,0,2,0,0
0,0.125582079,63,0,0.613548029,1800,10,0,0,0,0
0,0.031529004,54,0,0.23650546,3204,7,0,2,0,0
0,0.031229329,62,0,1067,NA,17,0,1,0,0
0,0.106539703,66,1,0.401393517,3300,16,0,2,0,0
0,0.36010134,60,0,0.226424126,8355,14,1,2,0,0
0,0.152620652,56,0,0.373563218,869,7,0,0,0,0
0,0.309810172,28,0,303,0,4,0,0,0,0
0,0.02279271,40,0,0.462208347,6085,9,0,2,0,2
0,0.169009324,59,0,0.492299427,5583,12,0,3,0,2
0,0.445077738,44,0,0.499096386,3319,9,0,1,0,0
0,0.008318357,48,0,1478,NA,15,0,1,0,0
0,0.194657048,78,0,0.934203063,1762,15,0,1,0,0
0,0.497515119,52,0,0.445095673,5800,7,0,2,0,0
0,0.38350946,49,0,0.27424803,6216,11,0,1,0,3
0,0.142704621,55,0,0.4306894,5395,20,0,2,0,0
0,0,51,0,0,NA,1,0,0,0,0
0,0.441019964,51,1,0.512074396,6666,16,0,2,0,2
0,0.354063559,57,0,0.580548389,16666,9,0,3,0,1
0,0.804246809,49,1,0.48659306,6339,7,0,1,0,0
0,0.9999999,63,0,3242,NA,5,0,2,0,0
0,0.6508994,70,0,380,NA,2,0,0,0,NA
0,0.265680316,65,0,0.147795448,10500,17,0,1,0,0
1,0.698161883,53,0,0.295252474,5960,3,1,1,2,3
0,0.088953234,72,0,1.080898546,13621,18,0,9,0,1
0,0.036420773,27,0,0.279534715,2750,7,0,0,0,0
0,0.731153415,42,0,0.29169973,6300,8,0,1,0,2
0,0.012076691,76,0,4462,NA,12,0,2,0,0
1,0.840035548,44,1,0.661267746,5000,6,0,2,0,1
0,0.110196327,58,0,0.593650794,10709,13,0,4,0,3
0,0.9999999,64,0,0,NA,9,0,0,0,0
0,0.578219507,68,0,0.477558348,6683,12,0,2,0,2
0,0.922426379,59,0,0.371516622,15250,10,0,1,0,1
0,0.066783797,60,0,0.192623468,7916,15,0,1,0,0
0,0.181771987,63,0,0.345126221,5426,11,0,1,0,1
0,0.605333093,64,3,0.01928846,45000,11,1,1,0,0
0,0.24207429,62,0,0.187903618,14400,10,0,3,1,2
0,0.133194672,43,0,0.383409456,8100,12,0,2,0,1
0,0.101234523,41,0,0.397365317,5085,10,0,1,0,0
0,0,30,0,911,NA,4,0,2,0,0
0,0.205459733,45,0,0.462059771,9000,21,0,1,0,0
0,0.011606218,46,0,0.207696661,7067,11,0,1,0,2
0,0.9999999,38,1,0.004934948,2228,1,0,0,0,2
0,0.05629659,50,0,0.117674392,17216,11,0,1,0,1
0,0.448850383,35,1,2331,NA,7,0,2,0,0
0,0.98890771,49,0,0.540074557,4291,4,0,0,0,1
0,0.28155376,72,2,0.106376004,6100,9,0,0,0,2
0,0.008349083,84,0,0.004907306,1833,11,0,0,0,0
0,0.793020698,54,0,0.458834858,2076,4,0,1,0,0
0,0.119853803,40,0,0.842931937,2100,5,0,1,0,2
0,0.9999999,46,0,0.486570893,1600,4,0,0,0,0
0,0.626373626,24,1,0.176328502,1655,5,0,0,1,0
0,0.424011124,53,0,0.230346207,8000,11,0,1,0,0
0,0.003861098,78,0,0.278979826,9566,16,0,2,0,0
0,0.033774649,43,0,0.211378862,10000,7,0,1,0,2
0,0.603336028,38,0,0.294487289,3500,5,0,0,0,1
0,0.011212594,49,0,0.095942824,13851,14,0,0,0,2
0,0.307046197,28,0,0.094704847,6250,7,0,0,0,0
0,0.129132577,70,0,0.668777074,3000,8,0,2,0,0
0,0.009899505,67,0,927,NA,7,0,1,0,0
0,0.005679821,59,0,1000,NA,7,0,1,0,0
0,0.103280499,51,0,0.298395984,8166,9,0,1,0,3
0,0,54,0,0.215932914,3815,12,0,0,0,0
0,0.026211702,57,0,5030,NA,10,0,2,0,3
0,0.038396928,86,0,0.005830904,2400,2,0,0,0,0
0,0.880201277,50,0,0.538402848,3931,10,0,0,0,1
0,0.13391297,49,0,0.08536434,24166,8,0,1,0,2
0,0.157489883,81,0,0.431251922,3250,18,0,1,0,0
0,0.07828062,58,0,0.171199733,17978,13,0,1,0,0
0,0.957208558,54,0,0.652869426,5000,4,0,1,0,0
0,0.201053135,38,0,0.311868813,10000,5,0,1,0,1
0,0.815198618,83,0,0.178109453,3014,3,0,0,0,0
0,0.955929201,49,0,2805,NA,12,0,1,0,0
0,0,64,0,0.511366676,3738,10,0,2,0,0
0,0,63,0,0.223260896,8236,5,0,2,0,1
1,0.9999999,27,0,0.115247806,4216,2,0,0,1,0
0,0.202243283,62,0,1499,NA,6,0,2,0,0
0,0.159581318,50,0,3781,NA,12,0,1,0,2
0,0.112177564,26,0,0.025772051,4500,2,0,0,0,1
0,0,73,0,0.330266973,10000,6,0,2,0,1
0,0.280765698,64,0,0.299911269,2253,9,0,0,0,2
0,0.350182491,28,0,0.217744455,3200,9,0,0,0,0
0,0.004552019,63,0,0.282588191,5300,9,0,1,0,1
0,0.943024917,46,2,0.311445148,7583,8,1,1,0,0
0,0.015509888,61,0,4665,NA,8,0,1,0,0
0,0.894809715,53,0,0.708700194,6700,11,0,2,0,0
0,0.066912436,31,1,0.651175358,3700,8,0,2,0,2
0,0.130930754,42,0,0.112808904,5300,8,0,0,0,1
0,0.9999999,59,0,0.309588603,6246,5,0,1,0,0
0,0.28611898,38,0,2560,NA,6,0,1,0,0
1,0.936515871,50,3,0.611002513,3580,9,1,2,0,2
0,0.365953573,49,1,0.286734653,25200,21,0,4,0,3
0,0.887374391,33,0,0.156698782,5500,13,0,0,0,0
0,0.649872574,26,0,0.03534452,2800,3,0,0,0,0
0,0.006027552,71,0,23,NA,13,0,0,0,0
0,0.912844333,45,1,0.078870354,6833,3,0,0,0,0
